"category"	"over_represented_pvalue"	"under_represented_pvalue"	"numDEInCat"	"numInCat"	"term"	"ontology"
"GO:0044281"	9.01381075372452e-27	1	321	1461	"small molecule metabolic process"	"BP"
"GO:0006082"	2.23489245788877e-26	1	209	801	"organic acid metabolic process"	"BP"
"GO:0043436"	5.86734514782474e-25	1	203	787	"oxoacid metabolic process"	"BP"
"GO:0019752"	4.82582523826684e-24	1	191	734	"carboxylic acid metabolic process"	"BP"
"GO:0032787"	3.80022010214577e-23	1	140	475	"monocarboxylic acid metabolic process"	"BP"
"GO:0007155"	2.03033516858717e-20	1	220	950	"cell adhesion"	"BP"
"GO:0022610"	2.76717710751674e-20	1	221	958	"biological adhesion"	"BP"
"GO:0006629"	3.30134407431795e-19	1	210	917	"lipid metabolic process"	"BP"
"GO:0042221"	4.17160395870691e-19	1	404	2155	"response to chemical"	"BP"
"GO:0001525"	9.34552830620079e-18	1	101	334	"angiogenesis"	"BP"
"GO:0044699"	9.691867034905e-18	1	1275	8889	"single-organism process"	"BP"
"GO:0006631"	3.32584743114248e-17	1	94	307	"fatty acid metabolic process"	"BP"
"00982"	1.42317842357899e-16	1	40	79	"Drug metabolism - cytochrome P450"	"KEGG"
"GO:0048514"	1.89132866448532e-16	1	112	404	"blood vessel morphogenesis"	"BP"
"GO:0004497"	1.96255671507314e-16	1	48	107	"monooxygenase activity"	"MF"
"GO:0008395"	8.20934951439261e-16	1	33	57	"steroid hydroxylase activity"	"MF"
"GO:0030198"	3.35305354358146e-15	1	59	158	"extracellular matrix organization"	"BP"
"00980"	3.90813837742645e-15	1	36	71	"Metabolism of xenobiotics by cytochrome P450"	"KEGG"
"GO:0043062"	4.67606769650886e-15	1	59	159	"extracellular structure organization"	"BP"
"01100"	7.01572901802829e-15	1	207	1001	"Metabolic pathways"	"KEGG"
"GO:0016491"	9.116078807291e-15	1	146	634	"oxidoreductase activity"	"MF"
"GO:0055114"	9.59039565436106e-15	1	169	771	"oxidation-reduction process"	"BP"
"GO:0050896"	1.74090330769059e-14	1	779	5034	"response to stimulus"	"BP"
"GO:0070887"	2.4486117243482e-14	1	290	1526	"cellular response to chemical stimulus"	"BP"
"GO:0001568"	2.93251172840484e-14	1	118	464	"blood vessel development"	"BP"
"GO:0044711"	3.51009470262878e-14	1	212	1039	"single-organism biosynthetic process"	"BP"
"GO:0001944"	1.1067765657106e-13	1	120	484	"vasculature development"	"BP"
"GO:0005539"	1.64828995991343e-13	1	48	125	"glycosaminoglycan binding"	"MF"
"GO:0051239"	3.07616097374204e-13	1	324	1782	"regulation of multicellular organismal process"	"BP"
"GO:0051240"	3.29131984076549e-13	1	210	1034	"positive regulation of multicellular organismal process"	"BP"
"GO:0044763"	4.78396895198108e-13	1	1142	7977	"single-organism cellular process"	"BP"
"GO:0044710"	7.75721724434546e-13	1	584	3668	"single-organism metabolic process"	"BP"
"GO:0040011"	9.87670334682115e-13	1	210	1048	"locomotion"	"BP"
"GO:0044255"	1.1830699234714e-12	1	153	698	"cellular lipid metabolic process"	"BP"
"GO:0016477"	1.42174249807176e-12	1	178	849	"cell migration"	"BP"
"GO:0044707"	1.51142037758438e-12	1	614	3870	"single-multicellular organism process"	"BP"
"GO:0005509"	3.10169492017637e-12	1	91	350	"calcium ion binding"	"MF"
"GO:0044283"	3.58168742737559e-12	1	96	377	"small molecule biosynthetic process"	"BP"
"04512"	3.85429732265555e-12	1	32	67	"ECM-receptor interaction"	"KEGG"
"GO:0016712"	4.75086885048454e-12	1	26	47	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	"MF"
"GO:0051094"	5.37938088636839e-12	1	178	860	"positive regulation of developmental process"	"BP"
"GO:0072358"	8.08278759695852e-12	1	156	727	"cardiovascular system development"	"BP"
"GO:0072359"	8.08278759695852e-12	1	156	727	"circulatory system development"	"BP"
"GO:0006935"	8.0866338953816e-12	1	85	323	"chemotaxis"	"BP"
"GO:0005102"	8.94587348421908e-12	1	196	989	"receptor binding"	"MF"
"00830"	9.04611288620941e-12	1	32	69	"Retinol metabolism"	"KEGG"
"GO:1901681"	9.60570320711809e-12	1	55	171	"sulfur compound binding"	"MF"
"GO:0042330"	9.67034297730438e-12	1	85	324	"taxis"	"BP"
"GO:0009611"	1.04236677014833e-11	1	110	464	"response to wounding"	"BP"
"GO:0030334"	1.04865062170456e-11	1	118	507	"regulation of cell migration"	"BP"
"GO:0008201"	1.16961094223336e-11	1	38	95	"heparin binding"	"MF"
"GO:0048870"	1.21565191935057e-11	1	183	903	"cell motility"	"BP"
"GO:0051674"	1.21565191935057e-11	1	183	903	"localization of cell"	"BP"
"GO:0050878"	1.22578040192195e-11	1	68	233	"regulation of body fluid levels"	"BP"
"GO:0010033"	1.29818181480859e-11	1	286	1575	"response to organic substance"	"BP"
"GO:0032501"	1.40584734686968e-11	1	621	3968	"multicellular organismal process"	"BP"
"GO:2000145"	1.41915732422204e-11	1	122	533	"regulation of cell motility"	"BP"
"GO:0020037"	2.24878280413879e-11	1	41	109	"heme binding"	"MF"
"GO:0009888"	2.52813664635682e-11	1	225	1173	"tissue development"	"BP"
"GO:0042060"	3.0052042995756e-11	1	73	263	"wound healing"	"BP"
"GO:0046906"	3.93717977356672e-11	1	42	115	"tetrapyrrole binding"	"MF"
"GO:0050793"	4.05665676994735e-11	1	283	1570	"regulation of developmental process"	"BP"
"GO:2000026"	4.47714127771432e-11	1	226	1191	"regulation of multicellular organismal development"	"BP"
"00591"	5.21420303446895e-11	1	19	29	"Linoleic acid metabolism"	"KEGG"
"GO:0048731"	1.354105760844e-10	1	449	2748	"system development"	"BP"
"GO:0051270"	1.37817921354671e-10	1	128	587	"regulation of cellular component movement"	"BP"
"GO:0019373"	1.43866582146531e-10	0.999999999990606	18	27	"epoxygenase P450 pathway"	"BP"
"GO:0009653"	1.79826993775093e-10	1	312	1782	"anatomical structure morphogenesis"	"BP"
"GO:0048856"	1.94909095979054e-10	1	527	3324	"anatomical structure development"	"BP"
"GO:0040012"	1.96302070170871e-10	1	126	579	"regulation of locomotion"	"BP"
"GO:0008202"	2.15536446575127e-10	1	61	213	"steroid metabolic process"	"BP"
"GO:0048646"	2.18842398338199e-10	1	170	846	"anatomical structure formation involved in morphogenesis"	"BP"
"GO:0007275"	2.25732290580855e-10	1	498	3113	"multicellular organismal development"	"BP"
"GO:0007167"	2.43796767049859e-10	1	129	591	"enzyme linked receptor protein signaling pathway"	"BP"
"GO:0030155"	2.49733839443251e-10	1	108	473	"regulation of cell adhesion"	"BP"
"GO:0004872"	2.57227976561567e-10	1	128	587	"receptor activity"	"MF"
"GO:0045765"	2.59074119029546e-10	0.999999999939435	51	163	"regulation of angiogenesis"	"BP"
"GO:0004866"	3.71286651089757e-10	0.999999999926257	39	110	"endopeptidase inhibitor activity"	"MF"
"GO:0009719"	4.0017969768598e-10	1	169	845	"response to endogenous stimulus"	"BP"
"GO:0004888"	4.03183989771125e-10	1	95	397	"transmembrane signaling receptor activity"	"MF"
"GO:0001676"	5.45435209515349e-10	0.999999999907417	32	78	"long-chain fatty acid metabolic process"	"BP"
"GO:0032502"	5.5907017914318e-10	1	579	3732	"developmental process"	"BP"
"GO:0065008"	6.44814964433276e-10	1	367	2203	"regulation of biological quality"	"BP"
"GO:1901564"	6.84865396170254e-10	1	246	1405	"organonitrogen compound metabolic process"	"BP"
"GO:0044767"	7.21440023178694e-10	1	574	3701	"single-organism developmental process"	"BP"
"GO:0016705"	8.37468396088379e-10	0.999999999751226	52	171	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"MF"
